中国蓝TV,#genre#
TV01,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
TV02,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
TV03,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
TV04,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
TV05,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
TV06,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
TV07,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
TV08,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
TV09,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
TV10,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
TV11,http://hw-m-l.cztv.com/channels/lantian/channel11/1080p.m3u8
TV12,http://hw-m-l.cztv.com/channels/lantian/channel12/1080p.m3u8
TV13,http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8
TV14,http://hw-m-l.cztv.com/channels/lantian/channel14/1080p.m3u8
TV15,http://hw-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8
TV16,http://hw-m-l.cztv.com/channels/lantian/channel16/1080p.m3u8
TV17,http://hw-m-l.cztv.com/channels/lantian/channel17/1080p.m3u8
TV18,http://hw-m-l.cztv.com/channels/lantian/channel18/1080p.m3u8

百视TV,#genre#
百视TV1,https://bp-caster.bestv.com.cn/954/3/video.m3u8
百视TV2,https://bp-caster.bestv.com.cn/926/3/video.m3u8
百视TV3,https://bp-caster.bestv.com.cn/945/3/video.m3u8
百视TV4,https://bp-caster.bestv.com.cn/900/3/video.m3u8
百视TV5,https://bp-caster.bestv.com.cn/956/3/video.m3u8
百视TV6,https://bp-caster.bestv.com.cn/947/3/video.m3u8
百视TV7,https://bp-caster.bestv.com.cn/941/3/video.m3u8
百视TV8,https://bp-caster.bestv.com.cn/953/3/video.m3u8
百视TV9,https://bp-caster.bestv.com.cn/939/3/video.m3u8
百视TV10,https://bp-caster.bestv.com.cn/938/3/video.m3u8
百视TV11,https://bp-caster.bestv.com.cn/937/3/video.m3u8
百视TV12,https://bp-caster.bestv.com.cn/943/3/video.m3u8
百视TV13,https://bp-caster.bestv.com.cn/846/3/video.m3u8
百视TV14,https://bp-caster.bestv.com.cn/934/3/video.m3u8
百视独播1,https://bp-caster.bestv.com.cn/946/3/video.m3u8
百视独播2,https://bp-caster.bestv.com.cn/955/3/video.m3u8
百视独播3,https://bp-caster.bestv.com.cn/940/3/video.m3u8
百视独播4,https://bp-caster.bestv.com.cn/944/3/video.m3u8
百视独播5,https://bp-caster.bestv.com.cn/723/3/video.m3u8
百视直播,https://bp-caster.bestv.com.cn/936/3/video.m3u8
百视自制1,https://bp-caster.bestv.com.cn/818/3/video.m3u8
百视自制2,https://bp-caster.bestv.com.cn/942/3/video.m3u8
轮播影院,#genre#
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
邵氏影院代,http://43.138.170.29:35455/douyu/4246519
Toonth电影,http://api.toonamiaftermath.com:3000/movies/playlist.m3u8
4k影院画质,http://159.75.85.63:35455/douyu/9249162
漫威影片代,http://epg.112114.xyz/douyu/6140589
霍格影片代,http://epg.112114.xyz/douyu/8814650
华影视直播,https://pull.kktv8.com/livekktv/128600025.flv
国产影院代,http://159.75.85.63:35455/douyu/5423
吃米滴虫代,http://159.75.85.63:35455/douyu/315457
吃米滴虫代,http://epg.112114.xyz/douyu/315457
冰冰经典代,http://159.75.85.63:35455/douyu/74374
星爷影院代,http://159.75.85.63:35455/douyu/508118
虎牙一丽,http://hls.ye23.vip/wl/huya2205.php?id=28755743
虎牙星星,http://hls.ye23.vip/wl/huya2205.php?id=11342412
虎牙娜娜,http://tx-screenshots.flv.huya.com/src/1199602572388-1199602572388-5612220038967721984-2399205268232-10057-A-0-1.flv?

神乐影院-1台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
神乐影院-2台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
神乐影院✔原,http://159.75.85.63:35455/douyu/122402
可乐影院✔原,http://159.75.85.63:35455/douyu/20415
小宇60帧✔原,http://159.75.85.63:35455/douyu/323876
欧美大片✔原,http://159.75.85.63:35455/douyu/2793084
贝爷MAX✔原,http://epg.112114.xyz/douyu/4332
贝爷影厅✔原,http://159.75.85.63:35455/douyu/252802
译制国语✔原,http://159.75.85.63:35455/douyu/2436390
绍兴影院✪另,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
