🌹 测试 直播 🌹,#genre#
CCTV1,http://222.223.119.21:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://222.223.119.21:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://222.223.119.21:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://222.223.119.21:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://222.223.119.21:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://222.223.119.21:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://222.223.119.21:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://222.223.119.21:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://222.223.119.21:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://222.223.119.21:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://222.223.119.21:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://222.223.119.21:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://222.223.119.21:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://222.223.119.21:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://222.223.119.21:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://222.223.119.21:8888/newlive/live/hls/17/live.m3u8
CGTN,http://222.223.119.21:8888/newlive/live/hls/18/live.m3u8
北京卫视,http://222.223.119.21:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://222.223.119.21:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://222.223.119.21:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://222.223.119.21:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://222.223.119.21:8888/newlive/live/hls/23/live.m3u8
浙江卫视,http://222.223.119.21:8888/newlive/live/hls/24/live.m3u8
安徽卫视,http://222.223.119.21:8888/newlive/live/hls/25/live.m3u8
广西卫视,http://222.223.119.21:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://222.223.119.21:8888/newlive/live/hls/27/live.m3u8
深证卫视,http://222.223.119.21:8888/newlive/live/hls/28/live.m3u8
贵州卫视,http://222.223.119.21:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://222.223.119.21:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://222.223.119.21:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://222.223.119.21:8888/newlive/live/hls/32/live.m3u8
河南卫视,http://222.223.119.21:8888/newlive/live/hls/33/live.m3u8
湖北卫视,http://222.223.119.21:8888/newlive/live/hls/34/live.m3u8
吉林卫视,http://222.223.119.21:8888/newlive/live/hls/35/live.m3u8
甘肃卫视,http://222.223.119.21:8888/newlive/live/hls/36/live.m3u8
西藏卫视,http://222.223.119.21:8888/newlive/live/hls/37/live.m3u8
新疆卫视,http://222.223.119.21:8888/newlive/live/hls/38/live.m3u8
青海卫视,http://222.223.119.21:8888/newlive/live/hls/39/live.m3u8
宁夏卫视,http://222.223.119.21:8888/newlive/live/hls/40/live.m3u8
陕西卫视,http://222.223.119.21:8888/newlive/live/hls/41/live.m3u8
东南卫视,http://222.223.119.21:8888/newlive/live/hls/42/live.m3u8
天津卫视,http://222.223.119.21:8888/newlive/live/hls/43/live.m3u8
辽宁卫视,http://222.223.119.21:8888/newlive/live/hls/44/live.m3u8
黑龙江卫视,http://222.223.119.21:8888/newlive/live/hls/45/live.m3u8
江西卫视,http://222.223.119.21:8888/newlive/live/hls/46/live.m3u8
山西卫视,http://222.223.119.21:8888/newlive/live/hls/47/live.m3u8
河北卫视,http://222.223.119.21:8888/newlive/live/hls/48/live.m3u8
河北经济,http://222.223.119.21:8888/newlive/live/hls/49/live.m3u8
河北都市,http://222.223.119.21:8888/newlive/live/hls/50/live.m3u8
河北影视,http://222.223.119.21:8888/newlive/live/hls/51/live.m3u8
河北少儿,http://222.223.119.21:8888/newlive/live/hls/52/live.m3u8
河北公共,http://222.223.119.21:8888/newlive/live/hls/53/live.m3u8
邢台综合,http://222.223.119.21:8888/newlive/live/hls/54/live.m3u8
邢台城市生活,http://222.223.119.21:8888/newlive/live/hls/55/live.m3u8
卡酷少儿,http://222.223.119.21:8888/newlive/live/hls/56/live.m3u8
金鹰卡通,http://222.223.119.21:8888/newlive/live/hls/57/live.m3u8

🌹 
测试2 直播 🌹,#genre#
CCTV,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8
CCTV,http://zteres.sn.chinamobile.com:6060/yinhe/2/ch00000090990000002499/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV4,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV4,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV1,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
cctv1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
cctv3,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
cctv7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
cctv9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV1,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226667/1.m3u8
CCTV2,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV5,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV4,https://iptv.luas.edu.cn/liverespath/c70d81eefb04fef7777c2a5aab4ddc9459ce4246/0baa43f537-0-0-5bc4eda6a2031a1140906b86d867a79e/index.m3u8
CCTV3,https://iptv.luas.edu.cn/liverespath/f76f9947c68be18d7a456e25aa59a08c5747e6a5/0df24da9ec-0-0-dca40ddadd2a051ce1a83536d9310820/index.m3u8
CCTV1,https://iptv.luas.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/e0eea3f2cd-0-0-7b16046e28b9e794d06c5fbcc82d37b9/index.m3u8
CCTV2,https://iptv.luas.edu.cn/liverespath/6b13fe5368d391761312a985ace065c0ecad2f5e/877097d2fa-0-0-b7736e6941fd5cb71f45ef9397b68092/index.m3u8
CCTV6,https://iptv.luas.edu.cn/liverespath/f2f39ee2105c85c32df375728a51b5d89d3afab4/113ed89f48-0-0-85216e55861329ec31ba1437a2ff37c9/index.m3u8
CCTV8,https://iptv.luas.edu.cn/liverespath/9e6e3b618b5dc902d992949f0c669bb674f6cde8/cae4471c68-0-0-316245c664c3311072c7279ec29672fe/index.m3u8
CCTV6,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=3
CCTV4,http://36.33.240.48:9901/tsfile/live/0004_1.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV3,http://36.33.240.48:9901/tsfile/live/0003_1.m3u8
CCTV1,http://36.33.240.48:9901/tsfile/live/0001_1.m3u8
CCTV6,http://36.33.240.48:9901/tsfile/live/0006_1.m3u8
CCTV2,http://jltpc.x3322.net:9901/tsfile/live/0002_1.m3u8?key=txiptv
